time,gForce
23513,1.04
23537,1.04
23561,1.04
23585,1.04
23609,1.03
23633,1.03
23657,1.04
23681,1.03
23705,1.03
23729,1.04
23753,1.05
23777,1.01
23801,1.02
23825,1.16
23849,1.23
23873,1.20
23897,1.47
23921,1.31
23945,1.20
23969,0.99
23993,0.86
24017,0.89
24041,0.89
24065,0.87
24089,0.84
24113,0.92
24137,1.00
24161,1.02
24185,1.00
24209,0.96
24233,0.93
24257,0.96
24284,0.99
24308,0.99
24332,1.01
24356,1.04
24380,1.03
24404,1.04
24428,1.07
24452,1.04
24476,1.04
24500,1.04
24524,1.04
24548,1.04
24572,1.06
24596,0.54
24620,1.04
24665,1.06
24689,1.05
24713,1.05
24737,1.05
24761,1.01
24785,1.02
24809,1.01
24833,1.04
24857,1.57
24881,1.03
24905,1.02
24929,1.03
24953,1.04
24977,1.05
25001,1.05
25025,1.04
25049,1.04
25073,1.03
25097,1.04
25121,1.03
25145,1.05
25169,1.05
25193,1.04
25217,1.06
25241,1.01
25265,1.04
25289,1.04
25316,1.06
25340,1.06
25364,1.04
25388,1.03
25412,1.06
25436,1.07
25460,1.03
25484,1.08
25508,1.06
25532,1.04
25556,1.05
25580,1.06
25604,1.08
25628,1.06
25652,1.06
25676,1.07
25700,1.06
25724,1.06
25748,1.03
25772,1.01
25796,1.05
25820,1.04
25844,1.04
25868,1.00
25892,0.95
25916,0.95
25940,0.96
25964,0.94
25988,1.00
26012,1.05
26036,1.07
26060,1.08
26084,1.10
26108,1.07
26153,1.01
26177,1.08
26201,1.09
26225,1.11
26249,1.06
26273,1.03
26297,1.07
26321,1.07
26345,1.04
26372,1.05
26396,1.07
26420,1.06
26444,1.05
26468,1.04
26492,1.06
26516,1.04
26540,1.05
26564,1.07
26588,1.09
26612,1.10
26636,1.14
26660,1.13
26684,1.14
26708,1.15
26732,1.15
26756,1.22
26780,1.26
26804,1.22
26828,1.16
26852,1.11
26876,1.05
26900,0.98
26924,0.93
26948,0.87
26972,0.81
26996,0.75
27020,0.73
27044,0.65
27068,0.56
27092,0.53
27116,0.59
27140,0.41
27164,0.19
27188,0.13
27212,0.14
27236,4.45
27260,0.30
27284,0.72
27308,1.26
27332,3.35
27356,0.64
27380,1.02
27407,1.12
27431,1.08
27455,1.01
27479,0.98
27503,1.00
27527,1.04
27551,1.07
27575,1.06
27599,1.04
27623,1.01
27668,1.03
27692,1.05
27716,1.05
27740,1.04
27764,1.02
27788,1.03
27812,1.04
27836,1.06
27860,1.04
27884,1.04
27908,1.04
27932,1.03
27956,1.04
27980,1.04
28004,1.03
28028,1.03
28052,1.05
28076,1.04
28100,1.04
28124,1.04
28148,1.03
28172,1.03
28196,1.04
28220,1.06
28244,1.05
28268,1.05
28292,1.06
28316,1.09
28340,1.07
28364,1.01
28388,1.03
28412,1.02
28439,1.05
28463,1.03
28487,1.05
28511,1.06
28535,1.01
28559,1.07
28583,1.07
28607,1.03
28631,1.05
28655,1.02
28679,1.03
28703,1.05
28727,1.09
28751,1.07
28775,1.06
28799,1.03
28823,1.03
28847,1.05
28871,1.05
28895,1.06
28919,1.04
28943,1.05
28967,1.05
28991,1.04
29015,1.04
29039,1.07
29063,1.05
29087,1.05
29111,1.05
29157,1.05
29181,1.04
29205,1.05
29229,1.04
29253,1.05
29277,1.06
29301,1.05
29325,1.04
29349,1.05
29373,1.04
29397,1.03
29421,1.04
29445,1.05
29469,1.06
29496,1.05
29520,1.06
29544,1.04
29568,1.05
29592,1.04
29616,1.05
29640,1.05
29664,1.04
29688,1.05
29712,1.05
29736,1.04
29760,1.06
29784,1.05
29808,1.05
29832,1.05
29856,1.05
29880,1.05
29904,1.04
29928,1.03
29952,1.04
29976,1.06
30000,1.05
30024,1.05
30048,1.03
30072,1.05
30096,1.06
30120,1.06
30144,1.05
30168,1.04
30192,1.05
30216,1.05
30240,1.04
30264,1.05
30288,1.04
30312,1.05
30336,1.06
30360,1.05
30384,1.03
30408,1.05
30432,1.10
30456,1.15
30480,1.14
30504,1.15
30531,1.12
30555,1.10
30579,1.11
30603,1.14
30648,1.19
30672,1.18
30696,1.16
30720,1.20
30744,1.19
30768,1.16
30792,1.18
30816,1.18
30840,1.24
30864,1.22
30888,1.12
30912,1.04
30936,1.00
30960,1.03
30984,1.06
31008,1.00
31032,0.97
31056,0.94
31080,0.97
31104,1.03
31128,0.99
31152,0.88
31176,0.88
31200,0.90
31224,0.88
31248,0.85
31272,0.83
31296,0.83
31320,0.83
31344,0.80
31368,0.77
31392,0.77
31416,0.79
31440,0.83
31464,0.77
31488,0.75
31512,0.74
31536,0.78
31563,0.51
31587,0.26
31611,0.16
31635,0.15
31659,0.16
31683,0.18
31707,0.25
31731,0.45
31755,0.54
31779,0.27
31803,0.11
31827,2.36
31851,1.08
31875,1.30
31899,1.27
31923,1.11
31947,1.05
31971,0.97
31995,0.98
32019,1.04
32043,1.07
32067,1.06
32091,1.03
32115,1.02
32161,1.03
32185,1.05
32209,1.03
32233,1.04
32257,1.03
32281,1.04
32305,1.04
32329,1.03
32353,1.05
32377,1.04
32401,1.03
32425,1.05
32449,1.03
32473,1.04
32497,1.05
32521,1.03
32545,1.03
32569,1.02
32593,1.02
32620,1.04
32644,1.04
32668,1.02
32692,1.04
32716,1.04
32740,1.08
32764,1.03
32788,1.02
32812,1.05
32836,1.03
32860,1.04
32884,1.23
32908,1.05
32932,1.12
32956,1.09
32980,1.25
33004,1.45
33028,1.53
33052,1.35
33076,1.30
33100,1.34
33124,1.39
33148,1.41
33172,1.33
33196,1.32
33220,1.30
33244,1.30
33268,1.23
33292,1.04
33316,0.87
33340,0.72
33364,0.66
33388,0.57
33412,0.46
33436,0.47
33460,0.47
33484,0.44
33508,0.42
33532,0.35
33556,0.27
33580,0.27
33604,0.20
33649,0.35
33681,0.35
33705,0.26
33729,1.84
33753,1.14
33777,1.05
33801,0.14
33825,0.18
33849,8.02
33873,0.88
33897,1.83
33921,1.01
33945,0.90
33969,1.07
33993,1.14
34017,1.13
34041,1.05
34065,0.99
34089,0.99
34113,1.01
34137,1.05
34161,1.06
34185,1.05
34209,1.04
34233,1.01
34257,1.03
34281,1.05
34305,1.05
34329,1.03
34353,1.03
34377,1.03
34401,1.04
34425,1.04
34449,1.04
34473,1.04
34497,1.05
34521,1.05
34545,1.06
34569,1.04
34593,1.04
34617,1.03
34641,1.04
34665,1.00
34709,1.03
34736,1.16
34763,1.11
34790,1.16
34817,1.12
34844,1.32
34871,1.24
34898,1.18
34925,1.21
34952,1.37
34979,1.36
35006,1.32
35033,1.20
35060,1.17
35087,1.23
35114,1.23
35141,1.11
35190,1.12
35217,1.07
35244,1.02
35271,1.02
35298,1.02
35325,0.95
35352,0.93
35379,0.86
35406,0.82
35433,0.86
35460,0.95
35487,0.90
35514,0.82
35541,0.83
35568,0.85
35595,0.88
35622,0.86
35649,0.91
35676,0.98
35703,0.98
35730,1.02
35757,1.01
35784,1.03
35811,1.04
35838,1.03
35865,1.07
35895,1.07
35922,1.07
35949,1.02
35976,1.01
36003,0.99
36030,1.00
36057,0.94
36084,0.91
36111,0.26
36138,0.19
36165,0.16
36192,0.15
36219,0.14
36246,0.14
36273,0.14
36300,0.15
36327,0.19
36354,0.22
36381,8.54
36408,1.47
36435,1.21
36462,1.77
36489,0.79
36516,0.47
36543,1.33
36570,0.71
36597,1.06
36624,0.71
36651,1.21
36678,1.14
36705,0.95
36732,0.98
36759,1.02
36786,1.03
36813,1.05
36840,1.07
36890,1.02
36917,1.03
36944,1.05
36971,1.05
36998,1.04
37025,1.04
37052,1.04
37082,1.03
37109,1.05
37136,1.04
37163,1.04
37190,1.04
37217,1.04
37244,1.03
37271,1.04
37298,1.04
37325,1.04
37352,1.05
37379,1.05
37406,1.06
37433,1.05
37460,1.04
37487,1.03
37514,1.03
37541,1.05
37568,1.04
37595,1.04
37622,1.04
37649,1.05
37676,0.86
37703,1.07
37730,1.02
37757,1.01
37784,1.05
